step,pos_x,pos_y,pos_z,target_x,target_y,target_z,error,action_0,action_1,action_2,action_3
0,0.0,0.0,0.03317017226848852,0.0,0.0,1.0,0.9668298277315115,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
1,0.0,0.0,0.04161959159757639,0.0,0.0,1.0,0.9583804084024237,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
2,0.0,0.0,0.05534051823429224,0.0,0.0,1.0,0.9446594817657078,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
3,0.0,0.0,0.07432300351221525,0.0,0.0,1.0,0.9256769964877848,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
4,0.0,0.0,0.09855490630387322,0.0,0.0,1.0,0.9014450936961268,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
5,0.0,0.0,0.12802191310062927,0.0,0.0,1.0,0.8719780868993707,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
6,0.0,0.0,0.16270756164950723,0.0,0.0,1.0,0.8372924383504927,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
7,0.0,0.0,0.2010796038287081,0.0,0.0,1.0,0.7989203961712918,18578.1029077977,18578.1029077977,18578.1029077977,18578.1029077977
8,0.0,0.0,0.24103636759546496,0.0,0.0,1.0,0.758963632404535,16015.285405556035,16015.285405556035,16015.285405556035,16015.285405556035
9,0.0,0.0,0.28117224451262207,0.0,0.0,1.0,0.7188277554873779,14163.853110041953,14163.853110041953,14163.853110041953,14163.853110041953
10,0.0,0.0,0.3206137723293824,0.0,0.0,1.0,0.6793862276706176,12889.942885241162,12889.942885241162,12889.942885241162,12889.942885241162
11,0.0,0.0,0.3588343277797828,0.0,0.0,1.0,0.6411656722202173,12067.607841704015,12067.607841704015,12067.607841704015,12067.607841704015
12,0.0,0.0,0.3955323867339165,0.0,0.0,1.0,0.6044676132660836,11582.03912564681,11582.03912564681,11582.03912564681,11582.03912564681
13,0.0,0.0,0.4305516907478948,0.0,0.0,1.0,0.5694483092521052,11335.25773002795,11335.25773002795,11335.25773002795,11335.25773002795
14,0.0,0.0,0.4638289717569314,0.0,0.0,1.0,0.5361710282430686,11249.769111420652,11249.769111420652,11249.769111420652,11249.769111420652
15,0.0,0.0,0.4953597720088186,0.0,0.0,1.0,0.5046402279911815,11268.352895561091,11268.352895561091,11268.352895561091,11268.352895561091
16,0.0,0.0,0.5251761348113969,0.0,0.0,1.0,0.4748238651886031,11351.00077776254,11351.00077776254,11351.00077776254,11351.00077776254
17,0.0,0.0,0.553332078210887,0.0,0.0,1.0,0.44666792178911296,11470.85051510654,11470.85051510654,11470.85051510654,11470.85051510654
18,0.0,0.0,0.5798941692054548,0.0,0.0,1.0,0.4201058307945452,11610.401404957585,11610.401404957585,11610.401404957585,11610.401404957585
19,0.0,0.0,0.6049354391092605,0.0,0.0,1.0,0.3950645608907395,11758.524402856405,11758.524402856405,11758.524402856405,11758.524402856405
20,0.0,0.0,0.6285314862784764,0.0,0.0,1.0,0.37146851372152356,11908.303143669527,11908.303143669527,11908.303143669527,11908.303143669527
21,0.0,0.0,0.6507580095724376,0.0,0.0,1.0,0.34924199042756243,12055.554080802724,12055.554080802724,12055.554080802724,12055.554080802724
22,0.0,0.0,0.6716892763540643,0.0,0.0,1.0,0.3283107236459357,12197.84288565929,12197.84288565929,12197.84288565929,12197.84288565929
23,0.0,0.0,0.6913971996153316,0.0,0.0,1.0,0.30860280038466836,12333.842626582918,12333.842626582918,12333.842626582918,12333.842626582918
24,0.0,0.0,0.7099508108247429,0.0,0.0,1.0,0.2900491891752571,12462.919660486532,12462.919660486532,12462.919660486532,12462.919660486532
25,0.0,0.0,0.7274159885753464,0.0,0.0,1.0,0.2725840114246536,12584.868395323017,12584.868395323017,12584.868395323017,12584.868395323017
26,0.0,0.0,0.7438553513289977,0.0,0.0,1.0,0.2561446486710023,12699.742328159555,12699.742328159555,12699.742328159555,12699.742328159555
